Pipeline,Rate Definition ID,Rate Schedule,Provider Charge Type,Charge Unit,Start Date,End Date,Rate Category,Season,Rec Loc Type,Rec Loc ID,Del Loc Type,Del Loc ID,Rate Type,Rate Unit,Charge Indicator,Rate
GLGT,246363,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,WAKEFIELD,Location,DEWARD,Fixed,,Delivery,0
GLGT,246364,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,WAKEFIELD,Location,DEWARD,Fixed,,Delivery,0.20256
GLGT,246293,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,CARLTON,Location,MIDLAND,Fixed,,Delivery,0
GLGT,246200,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,EMERSON,Location,CHIPPEWA,Fixed,,Delivery,2.80007
GLGT,246292,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,CARLTON,Location,LAMMERS,Fixed,,Delivery,0
GLGT,246201,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,EMERSON,Location,CLOW,Fixed,,Delivery,0.20256
GLGT,246265,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,ST CLAIR,Location,RAPID RIVER,Fixed,,Delivery,0
GLGT,246263,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,ST CLAIR,Location,MANISTIQUE,Fixed,,Delivery,0
GLGT,246199,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,EMERSON,Location,CARLTON,Fixed,,Delivery,1.73441
GLGT,246387,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,ST CLAIR,Location,EMERSON,Fixed,,Delivery,0
GLGT,246367,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,EMERSON,Location,CARLTON,Fixed,,Delivery,2.16348
GLGT,246371,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,ST CLAIR,Location,CARLTON,Fixed,,Delivery,0
GLGT,246370,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,RATTLE RUN,Location,CARLTON,Fixed,,Delivery,1.51846
GLGT,246236,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,FORTUNE LAKE,Location,ENGADINE,Fixed,,Delivery,0
GLGT,246183,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,CARLTON,Location,LAMMERS,Fixed,,Delivery,0
GLGT,246366,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,DEWARD,Location,CARLTON,Fixed,,Delivery,0
GLGT,246291,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,CARLTON,Location,FORTUNE LAKE,Fixed,,Delivery,0
GLGT,246237,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,FORTUNE LAKE,Location,FARWELL,Fixed,,Delivery,0
GLGT,246262,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,ST CLAIR,Location,LAMMERS,Fixed,,Delivery,0
GLGT,246259,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,ST CLAIR,Location,EMERSON,Fixed,,Delivery,0
GLGT,246261,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,ST CLAIR,Location,FORTUNE LAKE,Fixed,,Delivery,0
GLGT,246260,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,ST CLAIR,Location,FARWELL,Fixed,,Delivery,0
GLGT,246369,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,FORTUNE LAKE,Location,CARLTON,Fixed,,Delivery,0.42431
GLGT,246238,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,FORTUNE LAKE,Location,LAMMERS,Fixed,,Delivery,0
GLGT,246389,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,CARLTON,Location,FARWELL,Fixed,,Delivery,1.73441
GLGT,246372,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,CLOW,Location,CARLTON,Fixed,,Delivery,0
GLGT,246354,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,ST CLAIR,Location,WAKEFIELD,Fixed,,Delivery,0
GLGT,246202,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,EMERSON,Location,DEWARD,Fixed,,Delivery,2.80007
GLGT,246209,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,EMERSON,Location,RAPID RIVER,Fixed,,Delivery,0
GLGT,246208,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,EMERSON,Location,MIDLAND,Fixed,,Delivery,0
GLGT,246233,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,FORTUNE LAKE,Location,CLOW,Fixed,,Delivery,0
GLGT,246197,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,DEWARD,Location,LAMMERS,Fixed,,Delivery,1.73441
GLGT,246234,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,FORTUNE LAKE,Location,DEWARD,Fixed,,Delivery,0
GLGT,246196,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,DEWARD,Location,FORTUNE LAKE,Fixed,,Delivery,0.42431
GLGT,246271,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,BELLE RIVER MILLS,Location,ST CLAIR,Fixed,,Delivery,0.20256
GLGT,246299,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,CLOW,Location,FORTUNE LAKE,Fixed,,Delivery,2.37661
GLGT,246232,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,FORTUNE LAKE,Location,CHIPPEWA,Fixed,,Delivery,0
GLGT,246272,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,BELLE RIVER MILLS,Location,TRUMBLE ROAD,Fixed,,Delivery,2.16348
GLGT,246300,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,CLOW,Location,LAMMERS,Fixed,,Delivery,1.94941
GLGT,246231,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,FORTUNE LAKE,Location,CARLTON,Fixed,,Delivery,0
GLGT,246386,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,FARWELL,Location,EMERSON,Fixed,,Delivery,0
GLGT,246377,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,CARLTON,Location,EMERSON,Fixed,,Delivery,0
GLGT,246217,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,FARWELL,Location,CLOW,Fixed,,Delivery,0.64508
GLGT,246290,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,CARLTON,Location,FARWELL,Fixed,,Delivery,0
GLGT,246157,FT,FUEL,Percent,6/1/2025,6/30/2025,CD,,Location,EMERSON,Location,SAULT STE MARIE,Fixed,,Receipt,2.16348
GLGT,246297,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,CLOW,Location,CARLTON,Fixed,,Delivery,2.58882
GLGT,246206,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,EMERSON,Location,LAMMERS,Fixed,,Delivery,0.20256
GLGT,246235,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,FORTUNE LAKE,Location,EMERSON,Fixed,,Delivery,0
GLGT,246203,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,EMERSON,Location,ENGADINE,Fixed,,Delivery,2.80007
GLGT,246221,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,FARWELL,Location,FORTUNE LAKE,Fixed,,Delivery,0
GLGT,246433,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,CARLTON,Location,CLOW,Fixed,,Delivery,0
GLGT,246434,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,EMERSON,Location,CLOW,Fixed,,Delivery,0.20256
GLGT,246216,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,FARWELL,Location,CHIPPEWA,Fixed,,Delivery,0.42431
GLGT,246435,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,FARWELL,Location,CLOW,Fixed,,Delivery,0
GLGT,246353,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,ST CLAIR,Location,TRUMBLE ROAD,Fixed,,Delivery,1.30156
GLGT,246204,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,EMERSON,Location,FARWELL,Fixed,,Delivery,1.30156
GLGT,246351,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,ST CLAIR,Location,RATTLE RUN,Fixed,,Delivery,0
GLGT,246368,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,FARWELL,Location,CARLTON,Fixed,,Delivery,2.80007
GLGT,246270,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,BELLE RIVER MILLS,Location,ST CLAIR,Fixed,,Delivery,2.16348
GLGT,246205,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,EMERSON,Location,FORTUNE LAKE,Fixed,,Delivery,0.64508
GLGT,246269,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,WAKEFIELD,Location,DEWARD,Fixed,,Delivery,0
GLGT,246436,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,ST CLAIR,Location,CLOW,Fixed,,Delivery,0
GLGT,246268,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,ST CLAIR,Location,WAKEFIELD,Fixed,,Delivery,0
GLGT,246390,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,EMERSON,Location,FARWELL,Fixed,,Delivery,2.37661
GLGT,246375,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,ST CLAIR,Location,CARLTON,Fixed,,Delivery,0.42431
GLGT,246432,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,ST CLAIR,Location,CLOW,Fixed,,Delivery,0
GLGT,246207,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,EMERSON,Location,MANISTIQUE,Fixed,,Delivery,0
GLGT,246414,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,ST CLAIR,Location,WAKEFIELD,Fixed,,Delivery,0
GLGT,246303,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,EMERSON,Location,BELLE RIVER MILLS,Fixed,,Delivery,2.37661
GLGT,246380,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,FARWELL,Location,EMERSON,Fixed,,Delivery,0
GLGT,246328,FT,FUEL,Percent,6/1/2025,6/30/2025,TR,,Location,FARWELL,Location,FORTUNE LAKE,Fixed,,Delivery,2.16348
