origin,region,state,regionType,uom,mileLower,mileUpper,productType,season,entryDate,amount,tons,id,last_update_date
"SAINT LOUIS, MO",MO NW,MO,DESTINATION,$/MI,60,9999,UREA,2023 Q4,2023-09-28,4,25,"MO NW|#|DESTINATION|#|UREA/SUPERU/PHOSPHATES|#|$/MI|#|60|#|9999|#|2023 Q4|#|2023-09-28|#|SAINT LOUIS, MO",2023-09-28
"JEFFERSONVILLE, IN",MN S,MN,DESTINATION,$/MI,60,9999,DAP,2023 Q4,2023-09-28,0,25,"MN S|#|DESTINATION|#|UREA/SUPERU/PHOSPHATES|#|$/MI|#|60|#|9999|#|2023 Q4|#|2023-09-28|#|JEFFERSONVILLE, IN",2023-09-28
"CINCINNATI, OH",MN N,MN,DESTINATION,$/MI,60,9999,MAP,2023 Q4,2023-09-28,0,25,"MN N|#|DESTINATION|#|UREA/SUPERU/PHOSPHATES|#|$/MI|#|60|#|9999|#|2023 Q4|#|2023-09-28|#|CINCINNATI, OH",2023-09-28
"ENID, OK",TX NE,TX,DESTINATION,$/MI,60,9999,MAP,2024 Q1,2023-09-28,4,25,"TX NE|#|DESTINATION|#|UREA/SUPERU/PHOSPHATES|#|$/MI|#|60|#|9999|#|2024 Q1|#|2023-09-28|#|ENID, OK",2023-09-28
"CINCINNATI, OH",IL W,IL,DESTINATION,$/MI,60,9999,SUPERU,2023 Q4,2023-09-28,0,25,"IL W|#|DESTINATION|#|UREA/SUPERU/PHOSPHATES|#|$/MI|#|60|#|9999|#|2023 Q4|#|2023-09-28|#|CINCINNATI, OH",2023-09-28
"ENID, OK",KS SE,KS,DESTINATION,$/ST,0,60,UREA,2023 Q4,2023-09-28,15,25,"KS SE|#|DESTINATION|#|UREA/SUPERU/PHOSPHATES|#|$/ST|#|0|#|60|#|2023 Q4|#|2023-09-28|#|ENID, OK",2023-09-28
"CINCINNATI, OH",IL E,IL,DESTINATION,$/MI,60,9999,DAP,2023 Q4,2023-09-28,0,25,"IL E|#|DESTINATION|#|UREA/SUPERU/PHOSPHATES|#|$/MI|#|60|#|9999|#|2023 Q4|#|2023-09-28|#|CINCINNATI, OH",2023-09-28
"ENID, OK",MO NW,MO,DESTINATION,$/MI,60,9999,DAP,2023 Q4,2023-09-28,3.4,25,"MO NW|#|DESTINATION|#|UREA/SUPERU/PHOSPHATES|#|$/MI|#|60|#|9999|#|2023 Q4|#|2023-09-28|#|ENID, OK",2023-09-28
"MOORLAND, IA",MN C,MN,DESTINATION,$/ST,0,60,MAP,2023 Q4,2023-09-28,15,25,"MN C|#|DESTINATION|#|UREA/SUPERU/PHOSPHATES|#|$/ST|#|0|#|60|#|2023 Q4|#|2023-09-28|#|MOORLAND, IA",2023-09-28
,IL/IN/OH,OH,ORIGIN,$/ST,50,60,AMMONIA,FALL 2023,2023-08-18,32.15,20,IL/IN/OH|#|ORIGIN|#|AMMONIA|#|$/ST|#|50|#|60|#|FALL 2023|#|2023-08-18|#|,2023-08-18
"WINONA, MN",WI SW,WI,DESTINATION,$/MI,60,9999,MAP,2023 Q4,2023-09-28,4.5,25,"WI SW|#|DESTINATION|#|UREA/SUPERU/PHOSPHATES|#|$/MI|#|60|#|9999|#|2023 Q4|#|2023-09-28|#|WINONA, MN",2023-09-28
,TX,TX,ORIGIN,$/MI,300,350,AMMONIA,FALL 2023,2023-08-18,6.8,20,TX|#|ORIGIN|#|AMMONIA|#|$/MI|#|300|#|350|#|FALL 2023|#|2023-08-18|#|,2023-08-18
"WILMINGTON, NC",VA N,VA,DESTINATION,$/ST,0,60,SUPERU,2023 Q4,2023-09-28,18,25,"VA N|#|DESTINATION|#|UREA/SUPERU/PHOSPHATES|#|$/ST|#|0|#|60|#|2023 Q4|#|2023-09-28|#|WILMINGTON, NC",2023-09-28
"WINONA, MN",MN S,MN,DESTINATION,$/ST,0,60,MAP,2023 Q4,2023-09-28,15,25,"MN S|#|DESTINATION|#|UREA/SUPERU/PHOSPHATES|#|$/ST|#|0|#|60|#|2023 Q4|#|2023-09-28|#|WINONA, MN",2023-09-28
,KS,KS,ORIGIN,$/ST,30,40,10-34-0,2023 Q4,2023-08-18,12.5,25,KS|#|ORIGIN|#|UAN/ATS/APP|#|$/ST|#|30|#|40|#|2023 Q4|#|2023-08-18|#|,2023-08-18
"ROCK ISLAND, IL",MN N,MN,DESTINATION,$/MI,60,9999,SUPERU,2024 Q1,2023-09-28,4,25,"MN N|#|DESTINATION|#|UREA/SUPERU/PHOSPHATES|#|$/MI|#|60|#|9999|#|2024 Q1|#|2023-09-28|#|ROCK ISLAND, IL",2023-09-28
