originLocation,destinationLocation,equipmentType,productType
"BRANDON, MB","GRANT, MI",SINGLE,ATS
"BRANDON, MB","GRANT, MI",SINGLE,UAN
"BRANDON, MB","GRAYTOWN, OH",SINGLE,10-34-0
"BRANDON, MB","GRAYTOWN, OH",SINGLE,ATS
"BRANDON, MB","GRAYTOWN, OH",SINGLE,UAN
"BRANDON, MB","GREAT FALLS, MT",SINGLE,ATS
"BRANDON, MB","GREAT FALLS, MT",SINGLE,UAN
"BRANDON, MB","GREBNER, SD",SINGLE,ATS
"BRANDON, MB","GREBNER, SD",SINGLE,UAN
"BRANDON, MB","GREENLEAF, ID",SINGLE,UAN
"BRANDON, MB","GREENVILLE, OH",SINGLE,ATS
"BRANDON, MB","GREENVILLE, OH",SINGLE,UAN
"BRANDON, MB","GREENWOOD, DE",SINGLE,10-34-0
"BRANDON, MB","GREENWOOD, DE",SINGLE,ATS
"BRANDON, MB","GREENWOOD, DE",SINGLE,UAN
"BRANDON, MB","HAGERSTOWN, IN",SINGLE,10-34-0
"BRANDON, MB","HAGERSTOWN, IN",SINGLE,ATS
"BRANDON, MB","HAGERSTOWN, IN",SINGLE,UAN
"BRANDON, MB","HAMILTON, MI",SINGLE,ATS
"BRANDON, MB","HAMILTON, MI",SINGLE,UAN
"BRANDON, MB","HAMILTON, ON",SINGLE,10-34-0
"BRANDON, MB","HAMILTON, ON",SINGLE,ATS
"BRANDON, MB","HAMILTON, ON",SINGLE,UAN
"BRANDON, MB","HAMLIN, SK",SINGLE,10-34-0
"BRANDON, MB","HAMLIN, SK",SINGLE,ATS
"BRANDON, MB","HAMLIN, SK",SINGLE,UAN
"BRANDON, MB","HAMPTON, IA",SINGLE,UAN
"BRANDON, MB","HANSEN, ID",SINGLE,UAN
"BRANDON, MB","HARDIN, MT",SINGLE,UAN
"BRANDON, MB","HARRISON, MT",SINGLE,UAN
"BRANDON, MB","HARTFORD, MI",SINGLE,ATS
"BRANDON, MB","HARTFORD, MI",SINGLE,UAN
"BRANDON, MB","HARVEY, ND",SINGLE,10-34-0
"BRANDON, MB","HARVEY, ND",SINGLE,ATS
"BRANDON, MB","HARVEY, ND",SINGLE,UAN
"BRANDON, MB","HEDGES, WA",SINGLE,UAN
"BRANDON, MB","HEMLOCK, MI",SINGLE,10-34-0
"BRANDON, MB","HEMLOCK, MI",SINGLE,ATS
"BRANDON, MB","HEMLOCK, MI",SINGLE,UAN
"BRANDON, MB","HENSALL, ON",SINGLE,10-34-0
"BRANDON, MB","HENSALL, ON",SINGLE,ATS
"BRANDON, MB","HENSALL, ON",SINGLE,UAN
"BRANDON, MB","HERMISTON, OR",SINGLE,UAN
"BRANDON, MB","HESPER, MT",SINGLE,UAN
"BRANDON, MB","HICKSVILLE, OH",SINGLE,ATS
"BRANDON, MB","HICKSVILLE, OH",SINGLE,UAN
"BRANDON, MB","HINGHAM, MT",SINGLE,UAN
"BRANDON, MB","HOLGATE, OH",SINGLE,ATS
"BRANDON, MB","HOLGATE, OH",SINGLE,UAN
"BRANDON, MB","HOOPESTON, IL",SINGLE,ATS
"BRANDON, MB","HOOPESTON, IL",SINGLE,UAN
"BRANDON, MB","HOPMERE, OR",SINGLE,UAN
"BRANDON, MB","HORICON, WI",SINGLE,10-34-0
"BRANDON, MB","HORICON, WI",SINGLE,ATS
"BRANDON, MB","HORICON, WI",SINGLE,UAN
"BRANDON, MB","HUNTINGTON, IN",SINGLE,10-34-0
"BRANDON, MB","HUNTINGTON, IN",SINGLE,ATS
